Pipediameter in mm ;Wallthickness in mm;;;;;;
219.1;8.0;;;;;;
219.1;10.0;;;;;;
244.5;6.3;;;;;;
244.5;7.1;;;;;;
244.5;8.0;;;;;;
244.5;8.8;;;;;;
244.5;10.0;;;;;;
244.5;11.0;;;;;;
273.0;6.3;;;;;;
273.0;7.1;;;;;;
273.0;8.0;;;;;;
273.0;8.8;;;;;;
273.0;10.0;;;;;;
273.0;11.0;;;;;;
298.5;7.1;;;;;;
298.5;8.0;;;;;;
298.5;8.8;;;;;;
298.5;10.0;;;;;;
298.5;11.0;;;;;;
298.5;12.5;;;;;;
318.0;7.1;;;;;;
318.0;8.0;;;;;;
318.0;8.8;;;;;;
318.0;10.0;;;;;;
318.0;11.0;;;;;;
318.0;12.5;;;;;;
323.9;7.1;;;;;;
323.9;8.0;;;;;;
323.9;8.8;;;;;;
323.9;10.0;;;;;;
323.9;11.0;;;;;;
323.9;12.5;;;;;;
355.6;8.0;;;;;;
355.6;8.8;;;;;;
355.6;10.0;;;;;;
355.6;11.0;;;;;;
355.6;12.5;;;;;;
355.6;14.2;;;;;;
368.0;8.0;;;;;;
368.0;8.8;;;;;;
368.0;10.0;;;;;;
368.0;11.0;;;;;;
368.0;12.5;;;;;;
368.0;14.2;;;;;;
406.4;8.8;;;;;;
406.4;10.0;;;;;;
406.4;11.0;;;;;;
406.4;12.5;;;;;;
406.4;14.2;;;;;;
406.4;16.0;;;;;;
419.0;10.0;;;;;;
419.0;11.0;;;;;;
419.0;12.5;;;;;;
419.0;14.2;;;;;;
419.0;16.0;;;;;;
419.0;17.5;;;;;;
457.2;10.0;;;;;;
457.2;11.0;;;;;;
457.2;12.5;;;;;;
457.2;14.2;;;;;;
457.2;16.0;;;;;;
457.2;17.5;;;;;;
457.2;4.0;;;;;;
457.2;4.5;;;;;;
457.2;5.0;;;;;;
457.2;5.6;;;;;;
457.2;6.3;;;;;;
457.2;7.1;;;;;;
470.0;11.0;;;;;;
470.0;12.5;;;;;;
470.0;14.2;;;;;;
470.0;16.0;;;;;;
470.0;17.5;;;;;;
470.0;20.0;;;;;;
508.0;11.0;;;;;;
508.0;12.5;;;;;;
508.0;14.2;;;;;;
508.0;16.0;;;;;;
508.0;17.5;;;;;;
508.0;20.0;;;;;;
508.0;4.5;;;;;;
508.0;5.0;;;;;;
508.0;5.6;;;;;;
508.0;6.3;;;;;;
508.0;7.1;;;;;;
508.0;8.0;;;;;;
521.0;12.5;;;;;;
521.0;14.2;;;;;;
521.0;16.0;;;;;;
521.0;17.5;;;;;;
521.0;20.0;;;;;;
521.0;22.2;;;;;;
558.8;12.5;;;;;;
558.8;14.2;;;;;;
558.8;16.0;;;;;;
558.8;17.5;;;;;;
558.8;20.0;;;;;;
558.8;22.2;;;;;;
609.6;12.5;;;;;;
609.6;14.2;;;;;;
609.6;16.0;;;;;;
609.6;17.5;;;;;;
609.6;20.0;;;;;;
609.6;22.2;;;;;;
609.6;5.6;;;;;;
609.6;6.3;;;;;;
609.6;7.1;;;;;;
609.6;8.0;;;;;;
609.6;8.8;;;;;;
609.6;10.0;;;;;;
660.4;14.2;;;;;;
660.4;16.0;;;;;;
660.4;17.5;;;;;;
660.4;20.0;;;;;;
660.4;22.2;;;;;;
660.4;25.0;;;;;;
660.4;6.3;;;;;;
660.4;7.1;;;;;;
660.4;8.0;;;;;;
660.4;8.8;;;;;;
660.4;10.0;;;;;;
660.4;11.0;;;;;;
711.2;6.3;;;;;;
711.2;7.1;;;;;;
711.2;8.0;;;;;;
711.2;8.8;;;;;;
711.2;10.0;;;;;;
711.2;11.0;;;;;;
711.2;6.3;;;;;;
711.2;7.1;;;;;;
711.2;8.0;;;;;;
711.2;8.8;;;;;;
711.2;10.0;;;;;;
711.2;11.0;;;;;;
762;6.3;;;;;;
762;7.1;;;;;;
762;8.0;;;;;;
762;8.8;;;;;;
762;10.0;;;;;;
762;11.0;;;;;;
762;6.3;;;;;;
762;7.1;;;;;;
762;8.0;;;;;;
762;8.8;;;;;;
762;10.0;;;;;;
762;11.0;;;;;;
812.8;6.3;;;;;;
812.8;7.1;;;;;;
812.8;8.0;;;;;;
812.8;8.8;;;;;;
812.8;10.0;;;;;;
812.8;11.0;;;;;;
812.8;6.3;;;;;;
812.8;7.1;;;;;;
812.8;8.0;;;;;;
812.8;8.8;;;;;;
812.8;10.0;;;;;;
812.8;11.0;;;;;;
914.4;6.3;;;;;;
914.4;7.1;;;;;;
914.4;8.0;;;;;;
914.4;8.8;;;;;;
914.4;10.0;;;;;;
914.4;11.0;;;;;;
914.4;6.3;;;;;;
914.4;7.1;;;;;;
914.4;8.0;;;;;;
914.4;8.8;;;;;;
914.4;10.0;;;;;;
914.4;11.0;;;;;;
1016;6.3;;;;;;
1016;7.1;;;;;;
1016;8.0;;;;;;
1016;8.8;;;;;;
1016;10.0;;;;;;
1016;11.0;;;;;;
1016;6.3;;;;;;
1016;7.1;;;;;;
1016;8.0;;;;;;
1016;8.8;;;;;;
1016;10.0;;;;;;
1016;11.0;;;;;;
