Pipediameter in inches;Installationlength in mm
0.5;25.4
0.75;29
1;38.1
1.25;47.6
1.5;57.1
2;63.5
2.5;76.2
3;85.7
3.5;95.3
4;104.8
5;123.8
6;142.9
8;177.8
10;215.9
12;254
14;279.4
16;304.8
18;342.9
20;381
22;419.1
24;431.8
26;495.3
30;558.8
34;635
36;673.1
